date,travel to Maldives,trip to Maldives,visit Maldives,Tourism_Index,Smoothed_Tourism,Tourist_Arrivals
9/1/2018,-0.066421902,-0.081801918,0.23057752,0.007084652,0.271326521,107620
10/1/2018,-0.485329594,-0.369732381,-0.203928317,-0.316220989,0.153645744,127393
11/1/2018,-0.239286502,0.089665267,-0.060716903,-0.094830829,0.020194091,125604
12/1/2018,-0.179053975,-0.20354828,-0.047184902,-0.149882671,-0.142805995,150818
1/1/2019,0.941596254,0.581970151,0.639313367,0.709762471,0.028257794,151552
2/1/2019,0.12247171,0.498088123,0.310591073,0.284896355,0.157298714,168583
3/1/2019,0.500430213,2.481426085,0.444534131,1.129694413,0.499448331,162843
4/1/2019,-0.116929819,0.723812779,0.264654946,0.32236998,0.62518388,163114
5/1/2019,0.254639486,0.804195353,1.797833273,0.811726674,0.678949555,103022
6/1/2019,0.04356762,0.236723092,0.475837084,0.318471074,0.622602772,113475
7/1/2019,0.25849534,0.838086155,0.69705866,0.546000141,0.459688777,132144
8/1/2019,-0.243825777,0.334316239,0.209482859,0.091681464,0.458328957,139338
9/1/2019,-0.178320006,0.071447459,0.17296208,0.049016677,0.253736357,117619
10/1/2019,-0.238433579,-0.068079926,0.089950284,-0.039933746,0.168986056,141928
11/1/2019,-0.220957674,-0.062320239,-0.128106612,-0.075353904,0.008889043,137921
12/1/2019,-0.088204373,0.240596496,0.332329293,0.176362121,0.031083702,171348
1/1/2020,0.354129041,0.903042649,0.882673689,0.683499638,0.180366585,173347
2/1/2020,0.117308002,0.320887231,0.378271827,0.25805985,0.275532413,149785
3/1/2020,-0.191917215,-0.232303567,-0.42167177,-0.229083623,0.231083681,59630
4/1/2020,-0.401149842,0.330621188,-0.397123518,-0.190258447,0.115399722,13
5/1/2020,-0.236261311,0.458903925,-0.224385567,-0.097477105,-0.063836824,41
6/1/2020,-0.064558653,0.018268972,-0.164181903,-0.09391362,-0.155272011,1
7/1/2020,1.015367284,0.467946778,-0.37045221,0.251198047,-0.035689394,1752
8/1/2020,1.395174832,0.534974431,-0.062443159,0.486554532,0.140723594,7636
9/1/2020,1.25781545,0.223778924,0.040078021,0.445625246,0.256817084,9605
10/1/2020,0.618818284,-0.238232898,-0.11328937,0.054657535,0.32475918,21515
11/1/2020,0.204747709,-0.21040558,-0.559398214,-0.131595883,0.221971054,35757
12/1/2020,0.760266566,1.044299148,0.020029709,0.703767748,0.267733466,96412
1/1/2021,1.328289963,0.802263203,0.251763357,0.693416367,0.327915909,92103
2/1/2021,1.500742207,1.223155072,0.46191701,1.039245707,0.637062609,96882
3/1/2021,1.82222902,1.440708857,0.573371881,1.157711075,0.998370645,109585
4/1/2021,1.950251427,1.479016824,0.695159518,1.270720804,1.006000165,91200
5/1/2021,2.195591991,1.131465168,1.102193879,1.417493962,1.2426831,64613
6/1/2021,1.747348396,1.488636693,1.125557739,1.42910752,1.439627001,56166
7/1/2021,1.936628695,1.591836979,1.16763408,1.643972418,1.373547819,101818
8/1/2021,1.646509206,1.536939712,0.606848657,1.236192418,1.338186543,143599
9/1/2021,1.420460282,0.941915552,0.310508263,0.884598496,1.193472231,114896
10/1/2021,0.956120709,0.800029706,0.324625092,0.698694115,0.976335748,142066
11/1/2021,0.939743149,0.676559496,0.609875247,0.747080585,0.886434481,144725
12/1/2021,0.537490783,0.335374857,0.158119583,0.341279228,0.660336983,164284
1/1/2022,2.206212803,2.014998418,1.616941702,2.071367172,0.903934593,131765
2/1/2022,2.062142387,1.911929079,1.692044411,2.081345171,1.202285935,149011
3/1/2022,1.684799763,1.613497029,1.568189178,1.710171095,1.359928682,150748
4/1/2022,1.455068078,1.738777619,1.571995747,1.667101016,1.852739006,145282
5/1/2022,1.289599464,1.636890307,1.959061136,1.578220521,1.819929426,125528
6/1/2022,1.186382734,1.930560142,1.077701669,1.382193478,1.570600491,110885
7/1/2022,1.711707414,1.790245935,1.86061377,1.857850293,1.712566286,133561
8/1/2022,1.082167199,1.23928223,1.384259768,1.24784228,1.513824821,131863
9/1/2022,0.688913806,0.279211224,1.198999192,0.695004707,1.324902281,111986
10/1/2022,0.28329286,0.653455236,0.984348419,0.652619232,1.08956947,153737
11/1/2022,0.545478693,0.127333146,0.707984803,0.584328885,0.82654633,146886
12/1/2022,0.606554575,0.714288113,1.253286774,0.894403352,0.754597567,184051
1/1/2023,1.075418717,1.040833217,1.893125716,1.453335579,0.873464063,172499
2/1/2023,0.856831711,0.757999396,1.220948727,1.124506374,1.045576531,177915
3/1/2023,1.197052946,1.79747305,1.572827961,1.38143176,1.133749455,173514
4/1/2023,0.734755785,1.241926188,1.717387614,1.384423517,1.203116528,164357
5/1/2023,0.776721898,0.978256882,1.434553628,1.271999419,1.371881986,120959
6/1/2023,1.073322601,1.653570021,2.215000242,1.541799678,1.531145787,120363
7/1/2023,0.798033896,1.184305349,1.771263203,1.246554673,1.427082138,145620
8/1/2023,0.500349529,0.452342438,0.961817506,0.768664976,1.253467592,154854
9/1/2023,0.404105586,-0.198435196,0.553807051,0.321873237,0.910552819,130967
10/1/2023,0.304997997,-0.041966338,0.604264977,0.360447445,0.632586297,159141
11/1/2023,0.342797422,0.16621763,0.769824039,0.503774459,0.491521361,163658
12/1/2023,0.100349866,0.029096092,0.765226288,0.414678598,0.400907493,194696
1/1/2024,1.157022841,0.732446591,2.105154318,1.380270128,0.670503455,192385
2/1/2024,0.605521634,0.329450722,1.173515693,0.751947427,0.750133675,217392
3/1/2024,0.425409731,0.500366741,0.840334806,0.751931781,0.80822662,194227
4/1/2024,0.171678607,0.837100305,0.799198805,0.694821636,0.882944548,168366
5/1/2024,0.191370486,0.277873198,1.203973808,0.67354563,0.784042579,119875
6/1/2024,0.443229056,0.650077416,1.1103138,0.9464313,0.7976092,123284
7/1/2024,0.537305784,0.864232416,1.315961344,0.996210975,0.789903805,167528
8/1/2024,0.286433846,0.063560774,0.944358403,0.632099038,0.796264741,176175
9/1/2024,0.071476869,-0.106321052,0.977566153,0.440401725,0.711915532,132795
10/1/2024,0.167465684,-0.014794456,0.727712293,0.419127781,0.55875923,172621
11/1/2024,0.099553294,0.269763425,0.697225006,0.46955945,0.501981108,172987
12/1/2024,0.323499129,0.550795933,0.993243247,0.696142482,0.547077597,208980
1/1/2025,0.702257786,0.675474064,1.51139493,0.919752134,0.58506271,214863
2/1/2025,0.077196872,0.185268779,0.592633155,0.376767724,0.699487844,214091
3/1/2025,0.367508596,0.582955597,1.101179775,0.688593732,0.769865261,203468
4/1/2025,0.067644289,0.16427814,0.775942561,0.425325381,0.591735658,198322
5/1/2025,0.107219956,0.302362262,0.945893248,0.616005974,0.578252269,135614
6/1/2025,0.359472697,0.442091157,1.099421179,0.790999965,0.597782972,141772
7/1/2025,1.246266445,1.343650897,2.855973682,1.793252532,0.982263116,186738
8/1/2025,0.527388438,0.623076059,1.120483136,0.970419228,0.947664793,192058
9/1/2025,0.363993443,0.214313773,0.848280623,0.483867121,1.008846047,149563
10/1/2025,0.771144243,0.29136457,0.791416452,0.57938872,1.074292224,190445
11/1/2025,2.312959244,1.20332316,1.443194583,1.484644665,0.952398275,195127
12/1/2025,3.84965856,2.148139546,1.974553653,2.514697796,1.190823324,224455
1/1/2026,4.247811926,3.355664011,2.315479661,2.783902492,1.970068734,224788
2/1/2026,2.865135547,1.906679467,1.737121112,1.957471965,2.151044281,247722
3/1/2026,2.278072,1.238017885,1.425203927,1.418024977,2.149243239,161259
4/1/2026,1.385416572,1.37992491,0.976048989,1.117459316,2.168353091,147600
5/1/2026,1.296871852,1.987855859,1.481218098,1.387679811,1.676911545,
